Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
3064252,GPT-4,185,4,189,API log
3064252,GPT-4,433,4,437,API log
3064252,GPT-4,211,1,212,API log
3064252,GPT-4,212,4,216,API log
3064252,GPT-4,457,4,461,API log
3064252,GPT-4,346,1,347,API log
3064252,GPT-4,263,1,264,API log
3064252,GPT-4,171,4,175,API log
3064252,GPT-4,262,1,263,API log
3064252,GPT-4,198,4,202,API log
3064252,GPT-4,226,4,230,API log
3064252,GPT-4,692,4,696,API log
3064252,GPT-4,262,1,263,API log
3064252,GPT-4,270,1,271,API log
3064252,GPT-4,270,1,271,API log
3064252,ChatGPT,439,8,447,API log
3064252,GPT-4,238,4,242,API log
3064252,GPT-4,197,4,201,API log
3064252,GPT-4,185,4,189,API log
3064252,GPT-4,274,1,275,API log
3064252,GPT-4,193,1,194,API log
3064252,GPT-4,692,4,696,API log
3064252,GPT-4,211,1,212,API log
3064252,ChatGPT,438,8,446,API log
3064252,GPT-4,238,4,242,API log
3064252,GPT-4,211,1,212,API log
3064252,GPT-4,457,4,461,API log
3064252,GPT-4,169,1,170,API log
3064253,GPT-4,171,4,175,API log
3064253,ChatGPT,439,19,458,API log
3064253,GPT-4,255,1,256,API log
3064253,GPT-4,433,4,437,API log
3064253,GPT-4,270,1,271,API log
3064253,GPT-4,457,4,461,API log
3064253,GPT-4,211,1,212,API log
3064253,GPT-4,433,4,437,API log
3064253,GPT-4,263,1,264,API log
3064253,GPT-4,211,1,212,API log
3064253,GPT-4,255,1,256,API log
3064253,GPT-4,346,1,347,API log
3064253,GPT-4,211,1,212,API log
3064253,GPT-4,262,1,263,API log
3064253,GPT-4,346,1,347,API log
3064253,GPT-4,263,1,264,API log
3064253,GPT-4,169,1,170,API log
3064253,GPT-4,197,4,201,API log
3064253,GPT-4,185,4,189,API log
3064253,GPT-4,274,1,275,API log
3064253,GPT-4,193,1,194,API log
3064253,GPT-4,692,4,696,API log
3064253,GPT-4,169,1,170,API log
3064253,GPT-4,193,1,194,API log
3064253,GPT-4,238,4,242,API log
3064254,GPT-4,270,1,271,API log
3064254,GPT-4,692,4,696,API log
3064254,GPT-4,255,1,256,API log
3064254,GPT-4,193,1,194,API log
3064254,GPT-4,457,4,461,API log
3064254,GPT-4,433,4,437,API log
3064254,GPT-4,263,1,264,API log
3064254,GPT-4,169,1,170,API log
3064254,GPT-4,274,1,275,API log
3064254,GPT-4,171,4,175,API log
3064254,GPT-4,238,4,242,API log
3064254,GPT-4,197,4,201,API log
3064254,ChatGPT,433,8,441,API log
3064254,GPT-4,346,1,347,API log
3064254,GPT-4,198,4,202,API log
3064254,GPT-4,226,4,230,API log
3064254,GPT-4,185,4,189,API log
3064254,GPT-4,212,4,216,API log
3064254,GPT-4,171,4,175,API log
3064254,GPT-4,211,1,212,API log
3064254,GPT-4,262,1,263,API log
3064254,GPT-4,211,1,212,API log
3064255,GPT-4,211,1,212,API log
3064255,GPT-4,169,1,170,API log
3064255,GPT-4,262,1,263,API log
3064255,GPT-4,211,1,212,API log
3064255,GPT-4,198,4,202,API log
3064255,ChatGPT,434,8,442,API log
3064255,GPT-4,255,1,256,API log
3064255,GPT-4,274,1,275,API log
3064255,GPT-4,171,4,175,API log
3064255,GPT-4,346,1,347,API log
3064255,GPT-4,212,4,216,API log
3064255,GPT-4,226,4,230,API log
3064255,GPT-4,263,1,264,API log
3064255,GPT-4,193,1,194,API log
3064255,GPT-4,433,4,437,API log
3064255,GPT-4,197,4,201,API log
3064255,GPT-4,185,4,189,API log
3064255,GPT-4,270,1,271,API log
3064255,GPT-4,457,4,461,API log
3064255,GPT-4,692,4,696,API log
3064255,GPT-4,238,4,242,API log
3064256,GPT-4,262,1,263,API log
3064256,GPT-4,212,4,216,API log
3064256,GPT-4,211,1,212,API log
3064256,GPT-4,169,1,170,API log
3064256,GPT-4,263,1,264,API log
3064256,GPT-4,274,1,275,API log
3064256,GPT-4,457,4,461,API log
3064256,GPT-4,270,1,271,API log
3064256,GPT-4,211,1,212,API log
3064256,GPT-4,211,1,212,API log
3064256,GPT-4,255,1,256,API log
3064256,GPT-4,692,4,696,API log
3064256,GPT-4,198,4,202,API log
3064256,GPT-4,171,4,175,API log
3064256,GPT-4,226,4,230,API log
3064256,GPT-4,193,1,194,API log
3064256,GPT-4,433,4,437,API log
3064256,ChatGPT,375,8,383,API log
3064256,GPT-4,185,4,189,API log
3064256,GPT-4,197,4,201,API log
3064256,GPT-4,238,4,242,API log
3064256,GPT-4,346,1,347,API log
3064256,GPT-4,274,1,275,API log
3064256,GPT-4,263,1,264,API log
